pigID,group,p.53,p.54,p.55,p.57,p.59,p.60,p.63,p.64,p.396,p.485,p.512,p.513,p.514,p.527,p.541,p.542,p.554,p.555,p.563,p.567,p.575,p.577,p.584,p.587,p.590,p.594,p.599,p.605,p.606,p.608,p.1105,p.1107,p.1110,p.1121,p.1123,p.1125,p.1126,p.1284,p.1299,p.1301,p.1302,p.1303,p.1336,p.1356,p.1358,p.1359,p.1408,p.1411,p.1412,p.1417,p.1419,p.1437,p.1444,p.1476,p.1493,p.1494,p.1498,p.1508,p.1512,p.1516,p.1518,p.1519,p.1549,p.1558,p.1559,p.1561,p.1564,p.1566,p.1572,p.1573,p.1574,p.1585,p.1589,p.1592,p.1603,p.1604,p.1638,p.1640,p.1642,p.1643,p.1648,p.1649,p.1651,p.1659,p.1669,p.1670,p.1712,p.1768,p.1769,p.1827,p.1898,p.1899,p.2132,p.2137,p.2150,p.2183,p.2342,p.2734,p.2829,p.3127,p.3141,p.3147,p.3155,p.4966,p.4970,p.5086,p.5341,p.6146,p.11438,p.11777,p.12035,p.12055,p.12080,p.12102,p.12129,p.15053,p.15076,p.15095,p.15122,p.15128,p.15136,p.15140,p.15308,p.15365,p.15500,p.15650,p.15676,p.15677,p.15686,p.15737,p.15747,p.15753,p.15772,p.15778,p.15821,p.15835,p.15948,p.15949,p.15958,p.15990,p.15996,p.17747,p.17769,p.17805,p.18319,p.18349,p.18362,p.18369,p.18374,p.18467,p.18474,p.18476,p.18494,p.18497,p.19323,p.19324,p.19503,p.19934,p.20488,p.20675,p.20699,p.21023,p.21025,p.21044,p.21047,p.21049,p.21127,p.21183,p.21188,p.22001,p.22110,p.22116,p.22130,p.22132,p.22138,p.22171,p.22189,p.22294,p.23642,p.27414,p.27531,p.27672,p.27710,p.27716,p.27718,p.27728,p.27738,p.30460,p.31453,p.31522,p.31555,p.31609,p.31900,p.31904,p.31928,p.31938,p.32197,p.32198,p.32306,p.32328,p.32342,p.32346,p.32348,p.32350,p.32352,p.32379,p.32393,p.32394,p.32397,p.32398,p.32412,p.32415,p.32418,p.32426,p.32452,p.32489,p.32492,p.32504,p.32511,p.32553,p.32586,p.32599,p.32635,p.32672,p.32675,p.32815,p.32980,p.33228,p.33230,p.33418,p.33422,p.33441,p.33442,p.33447,p.33453,p.33454,p.33477,p.33587,p.33822,p.33871,p.33936,p.33937,p.33939,p.33945,p.33947,p.33950,p.33955,p.33957,p.33959,p.33960,p.33961,p.33969,p.33970,p.33971,p.33972,p.33997,p.34033,p.34035,p.34092,p.34093,p.34214,p.34258,p.34285,p.34384,p.34407,p.34416,p.34419,p.34456,p.34585,p.34666,p.34732,p.35107,p.35114,p.35127,p.35128,p.35130,p.35133,p.35137,p.35157,p.35174,p.35186,p.35253,p.35254,p.35255,p.35256,p.35257,p.35320,p.35322,p.35431,p.35434,p.35436,p.35437,p.35482,p.35490,p.35626,p.35628,p.35631,p.35638,p.35661,p.35669,p.35675,p.35678,p.35687,p.35688,p.35691,p.35718,p.35819,p.35854,p.35855,p.35883,p.35963,p.36103,p.36594,p.36746,p.36747,p.36752,p.36754,p.36768,p.36776,p.36808,p.37077,p.37095,p.37104,p.37231,p.37253,p.37366,p.37418,p.37427,p.37459,p.37478,p.37506,p.37539,p.37752,p.37789,p.38002,p.38075,p.38077,p.38156,p.38313,p.38314,p.38395,p.38637,p.38763,p.38768,p.39270,p.39512,p.39592,p.39627,p.39864,p.39994,p.40008,p.40420,p.40499,p.41419,p.41754,p.42103,p.42315,p.42574,p.42603,p.42629,p.42982,p.43343,p.43400,p.43488,p.43501,p.43502,p.43522,p.43525,p.43588,p.43761,p.43787,p.44552,p.44562,p.44563,p.44621,p.44630,p.44633,p.45413,p.45434,p.45453,p.45968,p.45970,p.46196
205D,MIX,1889079,8810243,,1748856,273020,1188202,5254621,21397244,,,523499,737146,107672,157616336,156938,641356,49271,,,1479710,130469,14968420,8850727,20681358,290406,356342,253749,6149,99162,,7327174,273228,994407,114866,75085,571208,64800888,2285072,1924090,791453,11904138,166838,4512264,18594,5300333,709917,,,12902,21440,,121703,1281189,3467991,3866150,327958,193684,335185,73675,1052902,268857,1725641,530755,122534,16871,163553,12817980,137958,360044,8785,35989,24106,16518,583049,,1031088,277250,,43735,109946,8601552,47567400,59458,,,9542263,19124,99780,29428,,13298709,,326577,14014,,24014,22312,24468,10905,119280,1040240,153722,247522,146758,400649,5813959,,588778,229976992,18913292,16020,,,,23433,576776,10281,,15992907,,28968,4798790,,182426,184671,53804,84913,24328,,571648,6738,73849,255555,1357619,362442,265284,4229,56887,15969,23979,3617006,,288110,105717,138224,149463,4328,322656,108073,127372,,31030,238043,23717,1134634,46024,198263,6464044,281244416,485529,1496174,,6073025,3791321,34157,553937,80905,46074,117893,,156924,135991,16859,3349,41256,125873,27783,,,140244,68896,1620236,207150,39608,428588,,1059143,28949,637087,140059,10198,56883,,5025,6003,9303,98759,144777,486431,27470,,489625,1064825,155201,130589,34446,68817,17065,45793,16702,,9027,10682,,26668,5873,14825,143974,3595225,55254,72100,,290479,,77538,16171,591906,1547409,350090,,247859,34629,483626,325410,131657,507210,727960,85889,466450,57809,,151560,59481,434969,44476,6462,3715896,88784,3860,2806351,413187,38324,78187,57402,14754,388160,39363,1486498,,68618,113800,16796,,53797,39505,37882,2661991,96435,,54754,6240,1888442,150495,2103039,,11489,16381,35740,47015,37090,237080,196480,472178,75383,92382,134904,5304,8437,26192,,78118,156993,21389,9267,24420,393835,62713,305344,,8730,66864,6505,42145,6922,1948513,146081,,265889,,43155,369125,24913,63413,3357,52270,206814,7057,52636,92606,208236,553155,8565647,21466698,92060,137615,50384,43990,436950,31006,98538,2697593,165557,20975,195453,2030010,172033,15514,,,122798,26686,,,45546,33191,,451705,59677,,,52376,,96138,9559,185237,111437,340210,380090,74545,,,292049,50193104,5281,246572,4145,388431,72622,87087,96244,775050,5649,154741,50193,32803,10706,176792,12235,105271,182737,29681,52261,7880
205E,LAC,982931,6421121,46213,493463,239397,930147,2699303,25580130,9835,36115,465323,574932,153887,153070320,81875,587884,20472,,,1195808,94198,6710176,6970333,11252615,262268,80065,272403,8304,123232,,9467566,173959,784494,104853,152334,458470,41564756,1015494,1630326,406900,9038070,78514,4439691,19007,5107723,652734,509232,4765,17511,13302,31343,103006,819254,2246809,670419,254912,174608,202906,57407,899350,,,329724,135673,31822,109008,7681650,108694,323961,27581,38619,21472,8361,221798,,726675,294442,58618,193597,81945,6415324,36129092,66232,,4560,24573314,68616,96588,39542,,10814496,,326108,22082,,43178,31344,16382,10599,147676,503482,127550,217024,77857,183187,2293914,,236058,189933488,10895101,23613,372440,,,22323,158646,20589,,12380418,,25262,3467018,,124310,359036,37235,103741,14070,81742,4101011,4458,31059,106252,1145995,175925,231303,,99387,10938,,488162,,299035,81072,258896,61532,2950,128418,,66529,,34653,182399,20678,539989,12534,171458,1380403,186796672,534020,712568,28860,4765052,2562961,59850,62318,69579,,81562,,90829,141308,10416,3427,27838,111124,15254,,3178,78426,98465,845544,77070,49677,286023,,750241,,508699,137789,2393,30466,10467,10426,4954,9780,60591,203842,347549,21147,,482281,641164,200046,250886,,58324,7175,37857,6525,18264,11441,46078,,49385,7605,74678,72146,7526640,88562,107636,,150465,23602,62501,11444,620277,505427,174780,,245603,61986,430791,238245,68329,122113,455290,85329,157592,16668,,226698,50309,386238,18302,9858,2214011,31231,5822,1156370,618550,19570,95594,32608,9273,274704,,1268256,9206,136086,51793,9887,113691,32724,98158,74333,1085697,74508,28491,28247,6028,1506113,126513,1980360,,13092,19271,43111,46050,23094,130653,126268,202137,39007,44223,87134,5824,34188,32958,,74427,157781,19888,11470,,219252,32589,192986,,8344,49873,7697,24490,,2045300,125613,,137059,,,178479,11125,27463,3087,103949,158689,,64642,134293,139135,372529,8539104,24116714,22966,123285,,,292173,22616,91818,1602554,69621,20392,235898,2134100,74915,9232,,,118488,16429,,,46347,11565,,258196,59791,,,100636,,42421,11200,98283,139761,126307,338055,59229,,,142130,7024212,4514,158942,5340,233509,23459,78964,92108,805926,5516,41850,,20574,5345,79648,13399,173180,37876,29092,7836,4324
205G,LAC,1246988,7433358,20276,649195,213233,869752,4177396,26294438,,45956,346248,472969,131808,134459856,40041,853337,31415,,,1059750,105883,10533940,6041573,19326314,307637,454258,259590,5327,129558,,7130170,297458,1061370,112982,130939,453838,48912328,1862420,2631593,522762,8852629,89742,4228861,18073,5012594,653702,,3503,10843,21773,,89115,1051590,2992106,1331877,152703,199094,342186,106613,806145,,,350769,84675,,123567,6305981,89076,448238,18375,46161,18869,3795,723788,,731519,349399,,41934,,5859940,47510076,36255,,3966,25980882,57752,77544,38000,,11376884,,463908,15640,,27987,27943,,8239,136433,682721,232293,139764,120987,337925,1276411,,351512,233457360,15000071,11877,,,,15535,308248,12703,,7966541,,24739,3956139,,145312,197058,44735,96531,23434,87156,439597,5678,43279,177568,1302832,137556,309258,3770,50785,11744,41613,686833,,275887,86677,87457,,3068,192811,58635,124729,,7091,84401,4266,1180331,28226,310258,4106688,187172592,433079,967749,,4000317,1789662,41938,73266,57335,,84346,,172684,143268,8305,2444,32982,53282,27454,,,151184,330353,1315364,71527,41429,550995,,1110313,,529816,136320,8425,38739,8714,9011,4314,6265,72749,156474,606795,18824,,371258,463339,98358,182186,,53248,4399,52114,6331,,8508,26218,,20593,5471,17815,122363,5513125,105644,62023,,240601,25970,80191,10797,518251,1236685,294891,,210203,29694,494123,308567,52983,778967,560104,86006,322113,34983,,102671,59142,290340,23936,7653,4195642,78523,3844,2437602,1549245,34893,106604,51504,17889,356579,82564,1447093,8867,339390,77429,15464,,25648,75541,32547,1818127,82976,,47125,9520,1312425,115681,2157321,,13271,16163,32131,31469,46147,210419,186977,374790,123454,101677,113501,5286,19676,29470,,13383,171603,15874,8596,17947,354885,55414,229394,,6050,62970,7272,37797,6647,1083768,154776,18998,171084,14532,31443,51667,13018,55716,1999,103290,187843,10332,33935,75658,148692,340314,8509418,20865004,75063,108106,34303,23508,244971,43401,125384,2314335,57738,21890,387477,1550979,52623,9831,,,69783,30784,,,43957,21522,459415,441725,47807,,2408,51725,,,11629,168853,63943,291057,289782,52483,,,235667,53649700,4426,322933,,285070,16190,84828,100443,684321,6816,126487,19798,22440,10340,144913,11632,110545,145169,21649,8831,8082
205H,CSS,3359530,15553310,170846,4595984,584501,3403256,3187149,71302288,86407,38862,2764386,600050,359150,2755768832,221328,5865623,,,,1174350,171180,6719757,4670346,23563168,1516246,2239698,353861,1601683,432983,,3417446,83375,609369,124891,1898994,1433720,913079680,1717628,10838674,1631237,12675884,5163039,3474780,20065,5726818,403924,126638,4143,21634,140063,20169,13984168,915195,5037102,15176808,403151,153518,725522,66114,7713583,426882,,1076254,112465,992548,95915,12032397,222766,593951,151104,90698,24676,69777,1321964,38619,1538942,695900,176750,42282,1257528,115129600,111024656,176071,,10939,25552692,101452,80292,23168,,32684594,12850,361007,30579,,45635,16266,18991,20520,441370,3118950,2342416,583079,476257,525557,11070473,13858,13150844,503023776,290958496,9400,,807111,160671,29663,4989871,14235,152525,171628800,,80075,6836184,791443,640714,298972,43346,35818,17614,68524,648300,3111,152789,999821,864222,1099033,558296,6019,36979,13667,45363,76328152,64231,133330,61124,351390,652776,9535,342555,150595,45119,,124384,415242,64673,786585,,205333,100891816,287964064,682116,2270823,,30662464,18903512,16291,1255898,65782,,82440,3639,76393,63061,120837,62851,35940,120112,,,41538,115837,248005,378586,249121,67155,1490381,102233,925487,491468,4642158,123020,41491,45853,12569,24127,18068,15341,375295,720965,353330,40296,28155,1415361,906089,190512,312286,390872,87440,71008,72526,24094,24757,7773,28151,17627,63064,10439,32139,92057,,4312,37931,,151212,51354,93320,13804,934383,196999,76186,9013,426152,267288,394813,277042,341976,2052459,1018473,48434,68991,,107969,1919091,88896,293349,41117,20383,1212085,19377,10900,671969,217435,17718,88822,57710,11748,,22353,545226,,359391,55983,10722,3705515,66105,261451,35579,584691,125372,52088,30476,14687,4709470,249128,1080297,,16648,12954,42877,52123,12947,133872,51852,87124,16253,18684,40462,7053,,116085,5461,164590,243043,30063,9210,18902,194392,72810,592338,,2872,45999,3605,37227,9008,7509773,69059,,265270,33894,30715,,22108,27463,88354,222413,232436,6127,86835,68906,213842,377720,7474958,17563774,,746297,,,1245259,33246,72642,1977345,80053,20116,436733,2981650,202336,7801,,,233832,38166,7703,,66130,8607,5815849,293953,26432,,4726,54990,,151402,4780,664511,436897,222423,1193438,195916,67786,,157408,333493,,832063,28454,348035,36824,223621,59945,829257,11468,36637,,11511,5435,78474,23340,2155613,42569,16117,,5981
205I,LAC,1560605,8335607,11981,715960,220010,746377,4006310,29622744,2847,47851,507294,709075,170289,150648432,108335,590992,20411,,,969022,185433,12004493,6703345,19247266,134749,399979,103814,11578,100435,,5637050,648400,624623,101453,145829,330361,56209640,2552154,2128249,563971,10112967,64665,3883776,22108,4815526,526432,,4601,17934,14909,14840,87071,1232247,3037793,1553651,164260,139200,262333,152167,1030885,219898,,387707,104766,,132591,8564475,,475386,19935,57542,25691,22661,473105,,611975,293567,66805,99554,58407,7695361,40667140,95334,,,13646922,78992,90961,32196,,18316666,9833,527659,11317,,45822,17018,15621,11579,138688,811601,219307,125102,111297,117205,1585433,,168812,224205984,16338243,18486,477204,,10723,22506,410429,16314,49260,7041510,,27400,2240481,,56084,158355,40300,79055,13787,,967544,6218,81834,161068,1175577,278178,197081,4049,90489,7086,45719,681112,,181602,58677,168112,190234,3826,162524,58226,53462,,,99879,,577610,17566,176791,7500944,224608368,225022,1575578,,5671450,2510713,31951,32701,56603,26315,51787,,108261,140645,16540,,84474,138638,,,9763,,54994,1305872,103977,14858,497769,,925221,,533561,125743,10629,51248,3920,,5499,7705,61372,168137,625557,,,507999,1120506,162650,270579,85155,57795,8182,37077,8189,,15375,19469,,,8154,54650,82522,6190514,9417,49417,5890,165048,,94480,,1970698,761930,169399,,284828,47364,499952,134526,43682,269711,658703,70902,164095,33637,,199899,58048,331446,40886,8730,2588179,40285,8130,1564438,745393,19106,50304,25556,9900,337314,23871,804513,,37961,37902,6286,64173,51808,71649,129695,1255125,64996,,27567,7508,2034880,178614,2936466,,11868,18469,44033,37753,21530,134826,162869,280839,104890,77087,71776,4057,,32990,,60444,145229,26023,6897,,199638,44529,312166,,7555,59514,7695,21348,5647,1613551,97383,16362,163418,10679,20541,,16803,19346,2808,43139,214809,5878,65459,141905,200452,318793,7395783,16615038,41718,114354,28220,22676,127040,52815,98381,2328456,89109,16807,212185,2972579,117138,7948,,3259,48180,18476,,,44114,,168513,609894,33050,,,98494,,,9753,220514,188647,198136,129809,11745,,,148071,23049814,6536,219801,4117,213985,70760,48811,81237,545494,5649,85158,28021,32988,,85351,13747,352052,80786,23466,9175,
205K,MIX,1154973,7584007,,466279,148193,842947,4831664,22241442,,59340,199541,226633,92232,98637432,257173,666904,,,,506057,,12264964,6565541,17930476,152005,1190144,169061,,95711,,7798086,330091,1261003,179389,115533,431978,28644368,1624348,1278981,542234,7447294,126647,6274126,26569,8050458,809330,,3868,9765,16651,,121688,766425,2777470,1000338,127946,117691,246591,75602,638102,259298,,421284,95434,,158303,9361967,70486,535839,17457,54223,34329,22577,502944,,678820,244241,,47098,95261,3881036,38108260,77547,,,57344264,40695,86327,18910,,9982957,,409278,13235,,30673,34842,18088,13308,124906,516514,218732,100586,152831,172069,,,403427,234202944,12877880,23100,,,,26372,351027,14983,,8910755,,21594,3462477,,179693,118315,39165,94539,14494,,1235839,5057,73960,,1383691,143620,361575,5309,71446,12707,45638,450939,,184418,160703,159254,102034,6995,161167,46505,135395,,44047,188107,23080,1136128,57712,150568,4384137,178350192,432767,917382,15702,3759912,1898456,36819,388388,93023,43094,99077,,196937,139876,14583,,46015,52793,32202,,,324504,146290,1614542,155415,25096,203641,,578601,,854014,134484,15546,31074,13006,20059,15089,8879,70309,148509,474318,,,554879,279366,161901,208255,,66224,10696,68812,29554,,17665,24083,3896,25367,15292,22360,172426,4910433,,65433,,259248,22893,67157,24975,701877,1478149,312997,,187103,43425,395392,311638,33901,685251,615351,113652,436646,69256,18500,279704,58748,526550,20126,9104,3192371,120988,5389,2428180,1360223,26862,70868,66730,23262,534154,36029,1217312,,208484,104194,18685,114243,,50183,185292,1962640,71995,,35049,10169,1700761,131375,2298526,,14775,16086,33977,36923,57648,284762,240077,298226,173621,157409,155897,4964,,20603,,95909,150130,26527,10479,18722,370512,83727,92420,,9117,81486,8829,42939,9937,1989255,262949,21307,226182,,42004,40102,15171,58145,4548,48791,144316,9257,,71637,146136,390339,8265931,23218454,57292,,52752,18121,103967,35125,165047,2339782,50858,25240,332069,1658867,91235,7076,,1398,91064,28265,,,66755,,,403852,72873,,,42678,,,10125,180758,110177,230230,261224,40287,,,187529,34991152,4714,239224,5349,220845,146222,61397,75710,872609,6310,116356,41237,37308,14033,193017,10636,31493,105431,37740,7350,8236
205L,MIX,1101467,7749624,18359,737198,296786,1038264,2582600,29250200,,34620,413652,728801,105157,116522152,149094,575997,,,,747898,144981,11408050,6974615,17700050,236616,459459,209456,,126244,,4754702,261303,462341,101605,138628,489027,54095140,1896478,3020196,564270,7931981,65774,4283626,20333,5481987,507795,,4727,21126,16798,,99336,976890,2851934,1755090,240482,113474,178392,217445,1203930,186353,,391885,137210,,,6913914,,340403,17438,43712,23939,11882,444176,,795731,325553,58922,40666,137622,9271830,43912868,86993,,4252,13653090,42019,101976,26942,,10237389,,383273,6035,,40721,30319,19739,10446,120236,565919,190371,117423,104545,114608,4718798,,287986,189923904,16431666,15706,,,,30617,344764,15903,,7305178,,17265,3597194,,81939,222754,39687,96855,20980,107801,570739,7672,52464,279936,1288254,,302593,3558,66489,14860,30554,1504860,,241900,43128,98217,136636,3375,162946,48237,46056,,15332,178773,9009,451806,10949,256953,5797373,190122288,661967,1327388,,6626161,2303322,37469,486421,42746,27905,103022,,163663,159350,16494,4871,45649,149208,15251,,,,91601,1225938,88087,20032,526913,35596,847257,,483195,167890,11317,34991,5996,4643,8676,8163,73215,136389,421176,,,570321,739273,151928,129794,,68146,4942,71511,8176,,7266,14459,,35999,9001,23717,67194,6929722,3429,25171,3416,157398,31008,83884,10458,692464,328751,73012,6431,223457,33997,551036,97143,56957,660706,624671,50572,97824,19259,,256253,60844,460409,18840,5982,1202131,23397,3273,718121,478462,14088,81339,17296,8258,282460,,599587,,99665,26591,5662,,,59455,29377,703517,80039,3158,27707,8334,3468048,129624,1471738,,18456,17735,38742,34928,15880,118502,70929,101089,31523,25616,49386,,,31469,,133284,182409,18576,9893,,151570,32065,258876,,5613,49944,4560,24482,,1548574,71523,,230981,,7103,137696,23002,34206,5166,69533,182292,6770,124120,93279,150026,469696,8106287,22931304,19415,114461,27670,,271833,42948,68566,1375864,69621,9988,189037,1792230,175535,4025,,3268,73276,26712,,,48811,,,392673,84923,,,22786,,,10419,89931,143986,,326786,25604,,,143808,22056188,3786,359985,11079,238922,89231,91301,79348,656970,4626,44574,,10954,6789,67242,12206,148928,37709,12495,,4377
206C,LAC,1190873,7328749,118795,817811,178097,1336079,2922215,30526530,37976,,410674,172195,68025,203148992,520977,859736,33095,,,1277427,175630,5217301,7464316,17275002,436253,27551,353898,9339,102322,,16007817,237555,687154,119439,155746,551105,69128376,922518,3692946,681979,6963455,247929,5979987,22543,5653048,1021127,588765,4706,9507,7216,18896,171313,1004623,3521596,844448,280789,153105,168559,93876,1116327,161605,,709228,103761,17005,122836,8661938,142485,305093,26751,72575,26672,16026,246750,63764,761755,228692,,279840,106281,5454992,59357860,,,6977,41475196,75870,80132,33180,,13108761,,339000,46103,,25464,,30053,11063,168840,972179,172534,201818,120500,348436,2152608,,1259971,151411280,15320619,17229,2056461,,,21718,203698,22831,,11919125,,45540,4209309,,134716,348990,42800,97873,29502,88383,399456,3613,58097,115747,1385622,446049,320519,,65368,20830,13356,1707812,,103106,114967,203636,104943,4837,196594,32515,66903,,50946,59851,11619,607100,9713,267763,11291528,168133120,,868637,103729,5050421,5980087,44451,66095,46948,16851,75145,3114,167629,154700,17042,5935,47748,63340,,,,163739,500768,1071335,72120,61896,1770963,,904684,,647663,162447,3572,26172,21747,26431,6968,23166,108646,317854,476912,74231,,816458,1578473,354676,218015,117345,50636,16747,57327,28333,,12020,22065,51280,95238,8636,101785,99129,8622626,12557,132419,,228683,85756,77140,9592,95674,673561,192829,33813,263878,180892,418511,229856,213055,417112,466421,133795,177036,29122,50489,292312,44087,334230,30143,6898,2525568,41202,,1736744,294587,38339,84902,44603,21528,280526,64951,2288974,,518833,59269,,96310,38808,267359,75799,1733816,71900,28454,36117,10302,2852510,160878,1233454,,16747,15882,48302,36611,24338,114973,187517,253471,46046,46834,91207,4645,,37535,,160190,105830,24428,17260,24937,248982,39839,206460,,9314,70198,4996,21846,2782,601521,136923,23315,200882,21844,18097,112151,23605,45908,7645,145901,167948,11457,171800,93952,174849,367196,7336448,20042688,45774,183295,25822,,373570,31047,98057,1721629,78738,32507,569460,1531330,83219,5556,,,106325,33915,,,53989,12747,19094,526888,72759,51966,,24488,,34027,8017,197046,136170,252419,690344,32014,,,188413,3826172,4586,507888,35382,515594,42042,49466,,657797,,82166,20205,25402,7897,66714,16651,352965,97117,23259,7887,
206D,CSS,1532260,7427601,68932,1620207,216541,1530030,5749639,26274756,91864,,266283,338223,237355,1067772224,592921,1787723,48410,,48879,1009050,135960,11078073,11009183,18032832,505431,461255,806645,140380,154278,,10856509,135779,747352,134901,127989,618424,58468372,736403,4684690,490375,4850516,1238048,5372278,25776,6873150,552305,799500,4394,17834,4101,23047,1240542,924466,4343301,1331212,217686,213495,338685,203825,1120534,116874,,1073286,109917,227993,190525,12542611,168204,787493,25596,66784,27803,61564,1189383,63561,3115439,149327,117262,56476,428012,2522648,49409212,96689,,12981,69594736,166932,62593,26946,,18258430,,420131,38588,,53421,17155,30416,20171,121471,910777,573703,826791,166331,125595,2166256,,648011,180576928,6553868,20095,,43869,,27967,690590,15719,,22480444,,49978,1577658,,236323,295254,54001,122597,29469,139189,678756,,157633,350892,1203378,427485,324518,3146,58514,37795,35368,1041087,39723,117491,112858,481794,201789,9817,330540,44798,55851,,132104,120341,20782,653498,13314,567373,30772856,312873792,617954,1695311,,5519722,26711158,52944,1102093,71712,45837,84737,3161,35124,180893,140130,28683,126302,76180,21210,,,381613,211112,1478047,116502,97613,1652725,41782,1411628,,700671,128937,11961,55057,13135,6420,10403,21965,172717,393424,386076,63828,,555940,1057476,475070,313560,188309,87996,108245,61440,24047,31101,16649,17898,61758,99020,11355,24729,95179,4740110,33818,170166,5890,86662,73888,120664,8777,197571,822580,320813,21101,402616,209301,276677,224302,461835,859964,952715,91680,237174,36148,71828,1619080,60177,1138401,29729,18931,3497492,60467,7732,1693195,741080,18642,75481,39464,13533,389968,16048,1473457,,119221,60118,6220,258790,86478,129839,122040,1212820,149060,273073,23234,12462,3752975,234107,923799,,13062,17409,67595,63399,24870,134808,275532,355445,138568,100652,82090,6761,,75380,5911,295198,334639,49531,8183,17714,151676,47927,408369,,4040,62509,3951,17862,5634,5530661,143665,12514,233673,,34513,328884,112234,31043,79196,237651,243254,6887,,71115,214072,832697,8350077,19263692,37630,878173,27734,47113,677844,,96229,3985329,55556,18322,301858,2087478,135530,2700,,3844,207265,20333,10993,,57500,18794,,581768,,,,38384,,71923,3692,312564,401759,380741,665310,96154,2913,,190296,13695327,4170,281595,63680,539770,96304,61673,86215,1047207,6890,75058,25682,26185,6297,89625,27211,2335126,113539,19576,23923,
206H,CSS,9358321,46227636,938886,11564540,1368122,17404938,2553779,144159648,393502,791654,1244661,400315,317882,2112376064,347169,6822049,223311,,,2418275,513750,9126638,8473161,99640952,2453259,4094494,499090,1732158,455730,8705,5718257,82574,710371,146346,1391180,7680991,1423772160,7282945,35296304,5968835,47787136,4611033,5443038,26745,7381095,626326,4484985,5691,14404,27207,,13968521,965478,,19436982,1577453,177415,654467,57654,8490293,478480,,1075571,132617,751816,185917,7178953,744122,634163,261608,146742,23902,89605,3639524,,3752543,3404988,2406439,41142,944860,639637504,258067792,119230,58331,,79062976,127502,91586,17657,45051,69120048,,519716,74909,474705,29365,,61694,21828,594843,1037634,1910173,369562,720794,326313,3003251,43938,12103629,386352544,776542656,10664,615669,359002,125654,43016,3877549,22630,58469,389246080,352264,65434,3429766,4436151,1733561,261250,46823,28656,20110,1073451,813146,4054,123839,718866,577852,2650299,718680,15057,,14333,187315,375851936,89001,85532,67562,297025,3406240,6067,382478,472675,33384,,117405,373839,76347,635372,16002,272066,103105752,1411331200,,2593237,195478,37017016,40897828,7456,2529811,117441,55342,144419,2004,73565,37328,173694,98928,60598,165260,11188,56933,71483,297150,154996,758422,295655,49037,5649893,82762,1224013,595307,9858982,128979,73935,47139,3353,7173,23028,30469,933850,648432,306403,46572,69944,473396,1231816,207055,657458,1043050,107802,113378,69638,17288,135060,10314,14299,6292,60771,7926,14471,66410,,12032,,,109137,83872,101435,20576,702665,196055,87747,156120,374297,329237,522812,171118,76181,1925003,1326960,61984,105909,,52392,2296112,126678,375242,36802,20796,1606053,,11912,1069436,535700,6879,98234,28122,12832,383592,,592669,,90505,63669,21432,3647064,,190058,107300,605838,146680,966086,38011,,7869263,190687,744944,,24931,14408,92246,58477,13153,165173,98410,237651,19240,39324,76910,6683,,57872,3922,172095,604157,,7868,22668,234759,193522,798397,,3440,57705,3044,46702,17420,3486033,86360,,357677,169333,28796,413689,47817,25460,124436,357204,226264,9026,,,295375,249033,5543272,13995901,32758,978591,,,1096464,73939,78459,1650315,126086,8987,107751,2784976,267201,15270,,,743911,21509,6559,,70127,12269,1787013,264602,,,5947,34441,,180197,5354,1311329,581159,737958,806551,155498,29866,,143190,5630503,3441,277919,6852,320685,41414,99857,,620168,7721,23979,,17030,10824,112235,28898,2574516,28323,13677,6536,6446
